date,action,price,quantity,pnl
2025-02-25 10:10:00+05:30,BUY,22597.5,100,
2025-02-25 11:00:00+05:30,SELL,22561.55,100,-3595.0000000000728
2025-02-25 13:10:00+05:30,BUY,22592.75,100,
2025-02-25 15:00:00+05:30,SELL,22557.85,100,-3490.0000000001455
2025-02-27 14:30:00+05:30,BUY,22549.7,100,
2025-02-28 09:15:00+05:30,SELL,22322.05,100,-22765.000000000146
2025-03-03 13:10:00+05:30,BUY,22154.8,100,
2025-03-04 09:20:00+05:30,SELL,22040.05,100,-11475.0
2025-03-04 14:20:00+05:30,BUY,22090.9,100,
2025-03-05 14:10:00+05:30,SELL,22326.8,100,23589.99999999978
2025-03-05 14:50:00+05:30,BUY,22353.15,100,
2025-03-06 09:50:00+05:30,SELL,22302.7,100,-5045.000000000073
2025-03-06 10:25:00+05:30,BUY,22358.65,100,
2025-03-07 12:10:00+05:30,SELL,22526.85,100,16819.99999999971
2025-03-07 13:40:00+05:30,BUY,22568.35,100,
2025-03-07 13:55:00+05:30,SELL,22533.45,100,-3489.9999999997817
2025-03-07 14:25:00+05:30,BUY,22574.1,100,
2025-03-07 15:25:00+05:30,SELL,22536.95,100,-3714.9999999997817
2025-03-10 09:20:00+05:30,BUY,22596.45,100,
2025-03-10 12:10:00+05:30,SELL,22587.5,100,-895.0000000000728
2025-03-11 13:40:00+05:30,BUY,22473.55,100,
2025-03-12 10:05:00+05:30,SELL,22430.75,100,-4279.999999999927
2025-03-12 14:15:00+05:30,BUY,22459.3,100,
2025-03-13 11:35:00+05:30,SELL,22432.65,100,-2664.9999999997817
2025-03-17 09:30:00+05:30,BUY,22566.1,100,
2025-03-17 12:35:00+05:30,SELL,22455.9,100,-11019.999999999709
2025-03-17 13:50:00+05:30,BUY,22486.15,100,
2025-03-18 12:55:00+05:30,SELL,22736.3,100,25014.99999999978
2025-03-18 12:55:00+05:30,BUY,22736.3,100,
2025-03-20 09:15:00+05:30,SELL,23022.0,100,28570.000000000073
2025-03-20 09:15:00+05:30,BUY,23022.0,100,
2025-03-21 13:50:00+05:30,SELL,23283.2,100,26120.000000000073
2025-03-21 14:25:00+05:30,BUY,23378.8,100,
2025-03-21 15:00:00+05:30,SELL,23339.5,100,-3929.9999999999272
2025-03-21 15:05:00+05:30,BUY,23358.6,100,
2025-03-21 15:20:00+05:30,SELL,23360.05,100,145.00000000007276
2025-03-21 15:20:00+05:30,BUY,23360.05,100,
2025-03-25 11:10:00+05:30,SELL,23701.1,100,34104.99999999993
2025-03-25 13:50:00+05:30,BUY,23732.8,100,
2025-03-25 14:55:00+05:30,SELL,23682.7,100,-5009.9999999998545
2025-03-27 10:25:00+05:30,BUY,23617.8,100,
2025-03-27 15:20:00+05:30,SELL,23584.95,100,-3284.9999999998545
2025-03-28 10:50:00+05:30,BUY,23624.05,100,
2025-03-28 12:20:00+05:30,SELL,23540.9,100,-8314.999999999782
2025-03-28 14:55:00+05:30,BUY,23591.5,100,
2025-04-01 09:15:00+05:30,SELL,23420.55,100,-17095.000000000073
2025-04-02 10:25:00+05:30,BUY,23267.35,100,
2025-04-03 09:25:00+05:30,SELL,23251.2,100,-1614.9999999997817
2025-04-03 10:35:00+05:30,BUY,23289.45,100,
2025-04-03 11:10:00+05:30,SELL,23278.95,100,-1050.0
2025-04-03 11:50:00+05:30,BUY,23291.3,100,
2025-04-03 12:30:00+05:30,SELL,23267.3,100,-2400.0
2025-04-07 15:15:00+05:30,BUY,22173.55,100,
2025-04-08 15:10:00+05:30,SELL,22528.4,100,35485.00000000022
2025-04-11 09:15:00+05:30,BUY,22765.2,100,
2025-04-11 14:05:00+05:30,SELL,22804.1,100,3889.9999999997817
2025-04-15 09:15:00+05:30,BUY,23279.4,100,
2025-04-15 15:00:00+05:30,SELL,23317.0,100,3759.9999999998545
2025-04-15 15:15:00+05:30,BUY,23328.05,100,
2025-04-16 09:20:00+05:30,SELL,23307.05,100,-2100.0
2025-04-16 09:30:00+05:30,BUY,23336.55,100,
2025-04-16 10:30:00+05:30,SELL,23286.1,100,-5045.000000000073
2025-04-16 11:40:00+05:30,BUY,23333.95,100,
2025-04-16 13:30:00+05:30,SELL,23288.75,100,-4520.000000000073
2025-04-16 14:00:00+05:30,BUY,23402.75,100,
2025-04-17 09:30:00+05:30,SELL,23319.85,100,-8290.000000000146
2025-04-17 09:50:00+05:30,BUY,23421.0,100,
2025-04-17 10:15:00+05:30,SELL,23359.75,100,-6125.0
2025-04-17 10:30:00+05:30,BUY,23408.25,100,
2025-04-21 14:40:00+05:30,SELL,24143.0,100,73475.0
2025-04-21 14:45:00+05:30,BUY,24153.95,100,
2025-04-21 15:05:00+05:30,SELL,24119.95,100,-3400.0
2025-04-22 09:35:00+05:30,BUY,24186.15,100,
2025-04-22 12:40:00+05:30,SELL,24189.3,100,314.9999999997817
2025-04-23 09:15:00+05:30,BUY,24313.5,100,
2025-04-23 10:40:00+05:30,SELL,24169.5,100,-14400.0
2025-04-23 11:45:00+05:30,BUY,24247.25,100,
2025-04-24 09:50:00+05:30,SELL,24287.7,100,4045.0000000000728
2025-04-24 10:25:00+05:30,BUY,24302.2,100,
